zip,latitude,longitude,city,stateCode,state,county,country,countryCodeIso2,countryCodeIso3,type
35610,34.95098,-87.24209,Anderson,AL,Alabama,Lauderdale,United State Of America,US,USA,Location
35611,34.76711,-87.08565,Athens,AL,Alabama,Limestone,United State Of America,US,USA,Location
35613,34.82405,-86.87736,Athens,AL,Alabama,Limestone,United State Of America,US,USA,Location
35614,34.86542,-87.08385,Athens,AL,Alabama,Limestone,United State Of America,US,USA,Location
35615,34.66399,-86.87415,Belle Mina,AL,Alabama,Limestone,United State Of America,US,USA,Location
35616,34.73885,-88.01897,Cherokee,AL,Alabama,Colbert,United State Of America,US,USA,Location
35618,34.64788,-87.30612,Courtland,AL,Alabama,Lawrence,United State Of America,US,USA,Location
35619,34.38732,-87.14546,Danville,AL,Alabama,Morgan,United State Of America,US,USA,Location
35620,34.93151,-86.99131,Elkmont,AL,Alabama,Limestone,United State Of America,US,USA,Location
35621,34.3496,-86.72508,Eva,AL,Alabama,Morgan,United State Of America,US,USA,Location
35622,34.34341,-86.89783,Falkville,AL,Alabama,Morgan,United State Of America,US,USA,Location
35630,34.82363,-87.66057,Florence,AL,Alabama,Lauderdale,United State Of America,US,USA,Location
35633,34.87641,-87.79858,Florence,AL,Alabama,Lauderdale,United State Of America,US,USA,Location
35634,34.9186,-87.61357,Florence,AL,Alabama,Lauderdale,United State Of America,US,USA,Location
35640,34.44125,-86.94406,Hartselle,AL,Alabama,Morgan,United State Of America,US,USA,Location
35643,34.67015,-87.20546,Hillsboro,AL,Alabama,Lawrence,United State Of America,US,USA,Location
35645,34.90184,-87.50087,Killen,AL,Alabama,Lauderdale,United State Of America,US,USA,Location
35646,34.67172,-87.52829,Leighton,AL,Alabama,Colbert,United State Of America,US,USA,Location
35647,34.96594,-87.12179,Lester,AL,Alabama,Limestone,United State Of America,US,USA,Location
35648,34.95875,-87.38491,Lexington,AL,Alabama,Lauderdale,United State Of America,US,USA,Location
35649,34.61705,-86.87099,Mooresville,AL,Alabama,Limestone,United State Of America,US,USA,Location
35650,34.45074,-87.3024,Moulton,AL,Alabama,Lawrence,United State Of America,US,USA,Location
35651,34.46688,-87.48741,Mount Hope,AL,Alabama,Lawrence,United State Of America,US,USA,Location
35652,34.84536,-87.31128,Rogersville,AL,Alabama,Lauderdale,United State Of America,US,USA,Location
35653,34.51688,-87.87134,Russellville,AL,Alabama,Franklin,United State Of America,US,USA,Location
35654,34.49805,-87.62779,Russellville,AL,Alabama,Franklin,United State Of America,US,USA,Location
35660,34.75597,-87.70091,Sheffield,AL,Alabama,Colbert,United State Of America,US,USA,Location
35661,34.77344,-87.56508,Muscle Shoals,AL,Alabama,Colbert,United State Of America,US,USA,Location
35670,34.46094,-86.71906,Somerville,AL,Alabama,Morgan,United State Of America,US,USA,Location
35671,34.66632,-86.94946,Tanner,AL,Alabama,Limestone,United State Of America,US,USA,Location
35672,34.64716,-87.40674,Town Creek,AL,Alabama,Lawrence,United State Of America,US,USA,Location
35673,34.58095,-87.13627,Trinity,AL,Alabama,Lawrence,United State Of America,US,USA,Location
35674,34.6576,-87.78283,Tuscumbia,AL,Alabama,Colbert,United State Of America,US,USA,Location
35677,34.95504,-88.02708,Waterloo,AL,Alabama,Lauderdale,United State Of America,US,USA,Location
35739,34.969,-86.79579,Ardmore,AL,Alabama,Limestone,United State Of America,US,USA,Location
35740,34.9501,-85.75855,Bridgeport,AL,Alabama,Jackson,United State Of America,US,USA,Location
35741,34.72143,-86.48335,Brownsboro,AL,Alabama,Madison,United State Of America,US,USA,Location
35744,34.61216,-85.90672,Dutton,AL,Alabama,Jackson,United State Of America,US,USA,Location
35745,34.94092,-86.20011,Estillfork,AL,Alabama,Jackson,United State Of America,US,USA,Location
35746,34.82902,-85.99594,Fackler,AL,Alabama,Jackson,United State Of America,US,USA,Location
35747,34.49446,-86.30739,Grant,AL,Alabama,Marshall,United State Of America,US,USA,Location
35748,34.72195,-86.387,Gurley,AL,Alabama,Madison,United State Of America,US,USA,Location
35749,34.82432,-86.75333,Harvest,AL,Alabama,Madison,United State Of America,US,USA,Location
35750,34.95095,-86.59506,Hazel Green,AL,Alabama,Madison,United State Of America,US,USA,Location
35751,34.81057,-86.27962,Hollytree,AL,Alabama,Jackson,United State Of America,US,USA,Location
35752,34.74811,-85.94586,Hollywood,AL,Alabama,Jackson,United State Of America,US,USA,Location
35754,34.51953,-86.61027,Laceys Spring,AL,Alabama,Morgan,United State Of America,US,USA,Location
35755,34.50012,-86.13529,Langston,AL,Alabama,Marshall,United State Of America,US,USA,Location
35756,34.64299,-86.81678,Madison,AL,Alabama,Limestone,United State Of America,US,USA,Location
35757,34.78311,-86.74491,Madison,AL,Alabama,Madison,United State Of America,US,USA,Location
35758,34.71349,-86.74668,Madison,AL,Alabama,Madison,United State Of America,US,USA,Location
35759,34.86439,-86.5504,Meridianville,AL,Alabama,Madison,United State Of America,US,USA,Location
35760,34.54918,-86.38259,New Hope,AL,Alabama,Madison,United State Of America,US,USA,Location
35761,34.91474,-86.41162,New Market,AL,Alabama,Madison,United State Of America,US,USA,Location
35763,34.62149,-86.4644,Owens Cross Roads,AL,Alabama,Madison,United State Of America,US,USA,Location
35764,34.72329,-86.31044,Paint Rock,AL,Alabama,Jackson,United State Of America,US,USA,Location
35765,34.69067,-85.81783,Pisgah,AL,Alabama,Jackson,United State Of America,US,USA,Location
35766,34.87344,-86.27667,Princeton,AL,Alabama,Jackson,United State Of America,US,USA,Location
35768,34.7711,-86.10539,Scottsboro,AL,Alabama,Jackson,United State Of America,US,USA,Location
35769,34.59,-86.09795,Scottsboro,AL,Alabama,Jackson,United State Of America,US,USA,Location
